thread_id,title,url,category,created_date,platform,signal_type,feature_cluster,replies,views,staff_signal,developer_signal,product_relevance,notes
693224,"Please increase available memory for addons on console","https://forums.elderscrollsonline.com/en/discussion/693224/please-increase-available-memory-for-addons-on-console","Add-Ons & UI Mods",2026-05-25,Console,"request;performance;staff_statement","addon profiles / loadouts;addon diagnostics",24,1100,"ZOS_DanBatson explains U52 warning/force-reload threshold changes","Dolgubon and code65536 discuss memory behavior",High,"Direct profile demand; links Addon Loadouts; runtime memory discussion"
680820,"Console Add-On Setups (Tested - No Save Errors)","https://forums.elderscrollsonline.com/en/discussion/680820/console-add-on-setups-tested-no-save-errors","Add-Ons & UI Mods",2025-07-18,PS5,"performance;compatibility;workaround","SavedVariables persistence;addon profiles / loadouts;addon diagnostics",5,1000,"","Community empirical test thread",High,"Activity-specific setups, save errors, addon interaction tests"
689040,"Tech/Dev question: Would it possible to create a way to backup configs on console?","https://forums.elderscrollsonline.com/en/discussion/689040/tech-dev-question-would-it-possible-to-create-a-way-to-backup-configs-on-console","Add-Ons & UI Mods",2026-02-23,Console,"request;developer_explanation;platform_constraint","settings backup / portability",9,,"","Baertram explains SavedVariables / QR / URL / chat constraints",Critical,"Direct ESO Profile Bridge demand evidence; Wizard's Wardrobe named as pain point"
690713,"Addon Presets At Character Load Screen","https://forums.elderscrollsonline.com/en/discussion/690713/addon-presets-at-character-load-screen","Add-Ons & UI Mods",2026-04-05,All,"request","addon profiles / loadouts",0,,"","",High,"Desire to choose presets before character load"
691509,"Addon Presets at Character Load Screen","https://forums.elderscrollsonline.com/en/discussion/691509/addon-presets-at-character-load-screen","Add-Ons & UI Mods",2026-04-20,All,"request","addon profiles / loadouts",0,,"","",High,"Repeated request; highlights reloadUI friction"
682726,"Bethesda.net add-on settings overwriting Console Add-ons","https://forums.elderscrollsonline.com/en/discussion/682726/bethesda-net-add-on-settings-overwriting-console-add-ons","Add-Ons & UI Mods",2025-09-03,PS5,"bug;support;workaround","package sync;SavedVariables persistence",9,,"","",High,"mods.bethesda.net Library state affected installed addons after U47"
683052,"[Console] Add-Ons Install themselves every time I log on since U47","https://forums.elderscrollsonline.com/en/discussion/683052/console-add-ons-install-themselves-every-time-i-log-on-since-u47","Add-Ons & UI Mods",2025-09-13,PS5,"bug;support;workaround","package sync",8,,"","",High,"Package subscription / auto-install state can differ from user expectation"
682846,"Is this new with console add-ons: it automatically installs your own released add-ons?","https://forums.elderscrollsonline.com/en/discussion/682846/is-this-new-with-console-add-ons-it-automatically-installs-your-own-released-add-ons","Add-Ons & UI Mods",2025-09-07,Console,"developer_explanation;support","package sync",6,,"","Addon author observes auto-install behavior",Medium,"Useful evidence about Bethesda Library subscription behavior"
680367,"Switching accounts is deleting addons","https://forums.elderscrollsonline.com/en/discussion/680367/switching-accounts-is-deleting-addons","PlayStation Technical Support",2025-07-09,PS5,"bug;support","package sync;account scope",4,,"","",High,"Multi-account console behavior; relevant to account/character scoping"
679588,"Auto-Save function not working properly on console?","https://forums.elderscrollsonline.com/en/discussion/679588/auto-save-function-not-working-properly-on-console","Add-Ons & UI Mods",2025-06-25,Console,"bug;developer_explanation;platform_constraint","SavedVariables persistence",,,"ZOS awareness reported in thread","Addon developers discuss console autosave/SavedVariables behavior",Critical,"Important persistence behavior for EPB"
682782,"PS5 Addons - Has Autosave really been fixed?","https://forums.elderscrollsonline.com/en/discussion/682782/ps5-addons-has-autosave-really-been-fixed","Add-Ons & UI Mods",2025-09-05,PS5,"bug;support","SavedVariables persistence",6,,"","",High,"Reports settings reverting after exiting game"
685125,"PS5 - saving problems again?","https://forums.elderscrollsonline.com/en/discussion/685125/ps5-saving-problems-again","Add-Ons & UI Mods",2025-11-11,PS5,"bug;developer_explanation;workaround","SavedVariables persistence",3,,"","Baertram relays ZOS contact that U47 fixed PS5 save bug but old data may need reset",High,"Supports persistence / rollback research"
688439,"[CONSOLE-PS5] Save problems with some addons","https://forums.elderscrollsonline.com/en/discussion/688439/console-ps5-save-problems-with-some-addons","Add-Ons & UI Mods",2026-02-04,PS5,"bug;support;developer_response","SavedVariables persistence;compatibility",10,,"","The702Guy reports fix after PS5 users contacted author",High,"Good example of console-only issue reaching addon author"
693134,"PS5 LibAddonMenu-2.0 Missing","https://forums.elderscrollsonline.com/en/discussion/693134/ps5-libaddonmenu-2-0-missing","Add-Ons & UI Mods",2026-05-22,PS5,"bug;dependency","dependency management",5,,"","",High,"Missing library disables several addons; Addon Doctor opportunity"
679516,"Console Fancy Action Bar+ Issues Thread","https://forums.elderscrollsonline.com/en/discussion/679516/console-fancy-action-bar-issues-thread","Add-Ons & UI Mods",2025-06-23,Console,"developer_explanation;bug;compatibility","HUD / combat / settings",22,,"","FancyActionBar+ author explains console settings limitations and ConsoleFlow testing",High,"Reference implementation for console port behavior"
698585,"Add-ons are busted and not working on PS5","https://forums.elderscrollsonline.com/en/discussion/698585/add-ons-are-busted-and-not-working-on-ps5","Add-Ons & UI Mods",2026-08-25,PS5,"outage;support","package browser",0,,"","",Medium,"Addon browser itself can fail; separate distribution availability from local config"
676627,"ESO Console Add-ons – Developer Uploader Tool","https://forums.elderscrollsonline.com/en/discussion/676627/eso-console-add-ons-developer-uploader-tool","Add-Ons & UI Mods",2025-04-18,Console,"release;staff_statement;developer_explanation","developer tooling;platform constraint",31,,"Official ZOS launch/developer thread","",Critical,"Primary forum source for console addon launch/distribution rules"
680466,"How to delete addons when they don't show in your installed list (PS5)","https://forums.elderscrollsonline.com/en/discussion/680466/how-to-delete-addons-when-they-dont-show-in-your-installed-list-ps5","Add-Ons & UI Mods",2025-07-11,PS5,"bug;support;developer_explanation","package sync;addon diagnostics",15,,"ZOS response relayed by Baertram","Baertram explains disabled addon code/SavedVariables are not loaded",High,"Delisted package uninstall edge case"
689081,"PS5 add ons not working","https://forums.elderscrollsonline.com/en/discussion/689081/ps5-add-ons-not-working","Add-Ons & UI Mods",2026-02-24,PS5,"bug;support","package availability;dependency management",6,,"","Baertram points to related missing-addon discussion",Medium,"Shows fragility of console addon availability"
